Date,Close,High,Low,Open,Volume
2015-01-01,988.880126953125,997.2128762729615,987.1125510750272,997.2128762729615,366830
2015-01-02,1002.049072265625,1006.5165225163342,990.8416561507291,990.9970077877591,925740
2015-01-05,986.82080078125,1009.9932304229714,980.7605701498529,1002.6511118261614,1754242
2015-01-06,950.440185546875,982.489279055345,947.8762201292969,982.489279055345,2423784
2015-01-07,939.2133178710938,963.0850197732171,935.2314604435364,959.5305215674723,2636332
2015-01-08,949.3526000976562,951.3726455460421,940.3205813108268,948.8086796954547,1565408
2015-01-09,975.9627685546875,978.9151125954319,951.760831304497,953.7032003479754,3197642
2015-01-12,974.952880859375,982.0619718551002,963.5123440243718,977.7887591611104,1596006
2015-01-13,970.3690185546875,982.9944216276596,963.4542582839224,978.9543305812168,1468432
2015-01-14,979.7114868164062,983.5379917062464,971.378742724886,977.4000866609931,1787096
2015-01-15,986.3743896484375,1002.9427681191067,980.2170386972155,984.0046602675307,5009920
2015-01-16,983.6744384765625,988.6663675028341,965.0860137768235,988.1613323152197,5293830
2015-01-19,975.4581909179688,990.9971505502741,972.3503989915076,985.1700406881596,1135074
2015-01-20,971.3594360351562,982.8388574693051,964.6777046682419,978.9541189022327,2058566
2015-01-21,976.545654296875,979.7311211306727,966.6201277372705,979.7311211306727,2310480
2015-01-22,976.4484252929688,979.4396548489967,969.4364536145449,977.5944041358454,2113214
2015-01-23,972.5833129882812,983.635376690867,969.6697586813291,976.6234036903497,3150380
2015-01-27,973.9259643554688,978.9667482875615,969.0603244534432,977.9352706411438,2738736
2015-01-28,988.5424194335938,990.6053748387151,974.2568238780627,974.2957870122113,3121980
2015-01-29,990.5079956054688,999.8695056650721,978.1492704104987,987.919513223113,3734392
2015-01-30,966.1414184570312,1002.3223156605774,961.4509202647092,996.7560018526297,5817402
2015-02-02,978.6552124023438,981.4772832112345,958.3558031484393,966.1213445058113,3181802
2015-02-03,995.8019409179688,998.4293866723697,975.8917788807672,977.6627959192155,2345054
2015-02-04,978.6942138671875,1001.0371925130945,973.9453687057115,999.5969822226826,2245418
2015-02-05,993.5248413085938,1008.8224342678824,980.5238877176906,980.913138963311,4530168
2015-02-06,1002.6141357421875,1010.029392751469,992.9218154205554,993.7586677860058,2136416
2015-02-09,978.1490478515625,1000.0250356227913,973.1277466914373,997.0666892600467,2076432
2015-02-10,950.220458984375,983.3457716810265,947.0480999504947,977.0204401462153,3799054
2015-02-11,957.5193481445312,968.1654104719252,952.5953566297794,955.6315361354112,2937522
2015-02-12,958.3951416015625,965.2654847204273,952.4980218574857,965.2654847204273,3107980
2015-02-13,988.2116088867188,991.7148701294486,957.6553858251305,961.4505855047544,4158326
2015-02-16,1006.1365966796875,1010.1069402128447,994.5368910380803,996.4831471849259,2364392
2015-02-18,1025.9305419921875,1028.7915781508466,998.5272780368746,1006.234475721835,2660014
2015-02-19,1043.6021728515625,1046.0349933739444,1025.6771322362417,1026.066383519823,2618002
2015-02-20,1041.461181640625,1050.5112730353833,1028.499096249466,1050.5112730353833,1801588
2015-02-23,1049.6744384765625,1059.5419965527974,1039.6901810406032,1039.6901810406032,1614892
2015-02-24,1052.8272705078125,1062.6558641228685,1042.804051276617,1048.6428197608086,2199922
2015-02-25,1040.1575927734375,1059.5423318856233,1038.46440616899,1054.8713149926668,1767994
2015-02-26,1034.02685546875,1048.1567001987626,1021.9211940305911,1042.804493485279,1991994
2015-02-27,1036.323486328125,1041.5394169923738,1018.3984406366682,1035.194600266823,2877376
2015-03-02,1039.0675048828125,1054.462414621796,1032.5086767226896,1043.0768127525753,2176038
2015-03-03,1080.5614013671875,1086.0109185210565,1041.6946285105275,1043.9717861912093,3424308
2015-03-04,1068.8837890625,1094.6133312475743,1057.0699771975221,1085.2323393686272,3862994
2015-03-05,1049.5966796875,1078.4985895608606,1043.6022475043671,1070.4411064207595,2173514
2015-03-09,1030.270263671875,1043.115555372782,1015.9457981626362,1027.6233360725514,2883174
2015-03-10,1028.6744384765625,1042.5123418298622,1010.2044824545691,1031.0877776403531,3037052
2015-03-11,1014.602783203125,1035.3887602708212,1011.1968350391836,1028.4017199009145,2240200
2015-03-12,1019.4686279296875,1021.7456909968222,1008.1998218933048,1021.3564397000073,1827636
2015-03-13,1005.1829833984375,1027.60379793195,1002.3219487551934,1026.844777016,1586838
2015-03-16,997.3784790039062,1015.9457442896887,993.3691721943622,1006.2922944563131,1556296
2015-03-17,1005.708251953125,1014.6610290681418,995.6072028667176,1005.2411695448336,1267318
2015-03-18,996.2302856445312,1011.8392047051781,993.252456380637,1008.5305688777728,1255170
2015-03-19,1010.5940551757812,1014.3309070276881,999.6366651084254,1002.7117134839913,2448964
2015-03-20,1016.3154296875,1019.059669729657,1003.820522841815,1010.4961430932733,1963908
2015-03-23,1018.728759765625,1024.1199270026827,1014.3886468145158,1018.2811588897825,1566608
2015-03-24,1008.6671752929688,1026.4559453276886,1005.0860814070774,1023.7311855183242,2394878
2015-03-25,1001.8356323242188,1017.5029986966518,990.7224876051854,1008.7058804349565,2224858
2015-03-26,978.2276611328125,1006.8765050970673,973.5176815180764,993.8755472831458,3091642
2015-03-27,978.8892211914062,1001.1154141502062,974.7242511476433,985.1950734572216,2751776
2015-03-30,998.098388671875,1000.3365829871207,980.9129868554527,982.8592427817532,1339006
2015-03-31,994.1282348632812,1000.1616293835264,981.3024248734272,1000.1616293835264,2427028
2015-04-01,989.7297973632812,997.8846882675497,981.7891087162523,995.7048429363359,2075758
2015-04-06,991.5400390625,997.6123034474389,973.1673933075409,995.7050097371595,1568542
2015-04-07,1006.2144165039062,1011.6639336532504,990.2551162808269,997.4367823748051,1886922
2015-04-08,1028.16796875,1034.0456992372985,1008.4913987765782,1009.7175019091106,1652134
2015-04-09,1037.1796875,1046.0935052633845,1025.7356409689432,1035.0193235347233,2544450
2015-04-10,1032.975830078125,1039.6125849876323,1022.9526072332783,1030.932260371894,1815544
2015-04-13,1033.6566162109375,1037.3545028063072,1022.9522076453941,1036.965251585742,1308642
2015-04-15,1022.8551635742188,1056.3891270234508,1015.71236378741,1033.3454677181537,2913934
2015-04-16,1005.3579711914062,1022.5628544176852,1000.9010641669465,1022.5433728521931,3217570
2015-04-17,963.3386840820312,996.483396544101,961.4507771343474,995.3546057092782,9668742
2015-04-20,945.4136962890625,966.8613886185842,943.8761724655739,965.3628279428569,2890722
2015-04-21,944.7320556640625,954.4438531899126,934.5920438454242,945.413245200393,2546032
2015-04-22,951.758056640625,962.6181260752481,937.1416564639312,946.4642028111467,4186812
2015-04-23,956.4879150390625,965.2655523114778,946.5425236736095,962.2293726631651,4342990
2015-04-24,970.4229125976562,978.5777078231055,952.7119795403963,955.7286769292703,3625158
2015-04-27,973.2055053710938,980.912695556869,967.6781591882446,972.9330486287279,2733052
2015-04-28,971.1821899414062,977.0209606224166,955.6510979427484,977.0209606224166,3088298
2015-04-29,968.1845092773438,971.1817244506051,954.074153561378,966.8999613367947,2019620
2015-04-30,958.99853515625,969.2358647014784,944.751992718433,965.343351188621,3738054
2015-05-04,965.9462280273438,974.9963174310377,956.4679243379785,969.6246324559894,1890630
2015-05-05,980.076171875,987.3161871753542,973.1279999425974,973.5172511425744,3255070
2015-05-06,958.7452392578125,978.9668211901034,955.9231679044811,978.9668211901034,3394406
2015-05-07,990.741943359375,994.0505796499377,955.1059652469609,959.4655611175251,3205028
2015-05-08,983.7353515625,1007.3823681249382,979.4730688181508,996.4833316846375,3003664
2015-05-11,994.9261474609375,997.6703876487223,982.8593592875068,986.7518716015167,2573082
2015-05-12,982.042236328125,998.429756900609,978.188685805548,996.4835000645455,2467386
2015-05-13,979.12255859375,991.4229361361722,965.5182463799157,991.4229361361722,1863774
2015-05-14,972.8363037109375,980.9132681210613,967.289472730491,980.9132681210613,1309050
2015-05-15,977.4686279296875,985.7402202882796,973.5177641806513,978.9672838521943,1461454
2015-05-18,981.0686645507812,982.9565708414192,971.9991878190121,978.6164580711868,4507752
2015-05-19,978.071533203125,984.8055983961941,971.8629951761651,980.6794974019564,1957722
2015-05-20,995.3356323242188,1000.3374574078183,979.7071265555303,980.9138442974706,1897814
